Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Sam Fuller,LAA,Rk,RP,R,19,2018,0,2,2
Anthony Banda,TB,AAA,SP,L,24,2018,56,726,149
Jose Adames,CIN,A,RP,R,25,2018,0,361.6,133
Sam Bordner,MIA,Coll,RP,R,21,2018,0,121.3,70
Drew Strotman,TB,A,RP,R,21,2018,0,250.6,69
Kevin Shackelford,CIN,MLB,SP,R,29,2018,6,478.3,295
Jordan Montgomery,NYY,MLB,SP,L,25,2018,3,483.3,97
Grant Hockin,CLE,A-,SP,R,22,2018,0,72.6,21
Caleb Dirks,ATL,AAA,RP,R,25,2018,3,176.6,130
Ryan Sherriff,STL,AAA,RP,L,28,2018,11,505,240
Gerson Moreno,DET,AA,RP,R,22,2018,0,243.3,156
Blake Wood,LAA,MLB,RP,R,32,2018,4,772.6,344
Skylar Szynski,OAK,Rk,SP,R,20,2018,0,13.3,7
Aaron Perry,BOS,HS,SP,R,18,2018,0,0,0
Keynan Middleton,LAA,MLB,RP,R,24,2018,0,377.6,187
Jay Groome,BOS,A,SP,L,19,2018,0,62,17
Lachlan Wells,MIN,A+,SP,L,21,2018,0,248.6,51
Collin Wiles,TEX,AA,SP,R,24,2018,0,595.3,125
Corey Seager,LAD,MLB,SS,R,24,2018,2888,0,745
Chad Hockin,CHC,A+,RP,R,23,2018,1,143.6,107
Breiling Eusebio,COL,A,SP,L,21,2018,0,231,52
Clay Aguilar,NYY,Coll,SP,L,19,2018,0,14.6,5
Matt Dermody,TOR,AAA,RP,L,27,2018,0,339.3,186
Josh Pennington,MIL,A,SP,R,22,2018,0,113,32
Kevin Gadea,TB,Rk,SP,R,23,2018,0,255.3,27
Gabe Klobosits,WAS,A+,RP,R,23,2018,0,124,69
Brac Warren,SF,Coll,RP,R,22,2018,0,85.3,73
Taijuan Walker,ARI,MLB,SP,R,25,2018,65,994.3,187
Dinelson Lamet,SD,MLB,SP,R,25,2018,48,412.3,85
Scott Williams,TEX,A+,RP,R,24,2018,0,136,99
JC Ramirez,LAA,MLB,SP,R,29,2018,27,1182.6,420
Travis d Arnaud,NYM,MLB,C,R,29,2018,3439,0,959
Matt Givin,MIA,Rk,SP,R,19,2018,0,23.3,7
Clayton Blackburn,TEX,AAA,SP,R,25,2018,66,762.6,151
Heath Donica,OAK,A-,SP,R,24,2018,0,253.3,51
A.J. Puk,OAK,AA,SP,L,23,2018,0,157.6,37
Ben Heller,NYY,MLB,RP,R,26,2018,0,253,216
Julian Fernandez,SF,A,RP,R,22,2018,0,148,128
Dalton Sawyer,OAK,A+,RP,L,24,2018,0,374,111
Dakota Chalmers,OAK,A,SP,R,21,2018,0,121.1,38
